date,Points,Ranking,HighestRanking
9/3/2010,195.5,20995,1560
9/3/2010,152.3000031,23898,577
9/3/2010,53.5,30505,334
9/3/2010,99.80000305,27399,166
9/3/2010,0,32636,31066
9/3/2010,31,31997,2395
9/3/2010,181,21921,151
9/4/2010,158.5,23472,95
9/5/2010,37.20000076,31658,464
9/6/2010,3935.100098,1729,28
9/6/2010,39.29999924,31539,455
9/6/2010,51.20000076,30713,363
9/7/2010,94.90000153,27694,184
9/7/2010,42.40000153,31320,406
9/7/2010,84.90000153,28211,208
9/8/2010,108,26895,160
9/8/2010,108,26896,160
9/8/2010,2650,2553,21
9/9/2010,641,9015,1541
9/9/2010,27.20000076,32210,579
9/9/2010,5751.100098,1161,44
9/10/2010,26.70000076,32237,577
9/10/2010,27.70000076,32177,565
9/10/2010,92.09999847,27822,189
9/10/2010,684.5999756,8524,6958
9/10/2010,32.70000076,31912,518
9/10/2010,75.80000305,28770,945
9/11/2010,7498.399902,853,29
9/11/2010,717.9000244,8180,463
9/12/2010,674.5999756,8644,234
9/12/2010,10704.90039,583,12
9/13/2010,30.89999962,32001,540
9/13/2010,68.09999847,29276,256
9/13/2010,304,16008,40
9/13/2010,10749.2998,579,31
9/13/2010,68.80000305,29235,254
9/13/2010,55.70000076,30290,322
9/14/2010,394.7000122,13214,565
9/14/2010,29.79999924,32074,544
9/14/2010,238.6000061,18793,1273
9/14/2010,27,32219,573
9/14/2010,34.79999924,31793,2219
9/14/2010,335.7000122,14950,1739
9/14/2010,20.20000076,32453,1077
9/14/2010,33.90000153,31861,514
9/15/2010,40.29999924,31483,1029
9/15/2010,153.8999939,23789,104
9/15/2010,32.79999924,31908,517
9/15/2010,69,29219,267
9/15/2010,301,16117,41
9/16/2010,3912.399902,1738,66
9/16/2010,54.40000153,30429,345
9/16/2010,86.5,28122,205
9/17/2010,35.09999847,31781,501
9/17/2010,215.8000031,19838,1888
9/17/2010,86.69999695,28103,196
9/17/2010,146,24281,108
9/17/2010,34.90000153,31788,501
9/18/2010,44.79999924,31167,422
9/18/2010,208.5,20222,66
9/19/2010,304.8999939,15957,39
9/19/2010,197.3999939,20883,1259
9/19/2010,40.09999847,31491,446
9/20/2010,143.1999969,24480,105
9/20/2010,47.70000076,30981,374
9/21/2010,175.6000061,22286,74
9/21/2010,33.90000153,31862,503
9/21/2010,120.5,26112,500
9/21/2010,34.5,31817,497
9/21/2010,184.8999939,21646,106
9/21/2010,92.5,27802,398
9/21/2010,710.2000122,8248,16
9/22/2010,985.2999878,6216,1061
9/22/2010,28.10000038,32155,559
9/22/2010,323.6000061,15337,165
9/22/2010,8622,741,159
9/22/2010,28.39999962,32142,555
9/22/2010,32.40000153,31921,522
9/22/2010,84.5,28231,197
9/22/2010,34.40000153,31828,499
9/22/2010,28.29999924,32146,556
9/22/2010,28,32161,560
9/22/2010,29.10000038,32102,549
9/22/2010,38.59999847,31572,444
9/22/2010,108.9000015,26836,919
9/22/2010,13895.7998,404,14
9/22/2010,134.1000061,25121,411
9/22/2010,31.5,31974,529
9/23/2010,1104.800049,5599,2594
9/23/2010,89.09999847,27981,568
9/23/2010,33.5,31874,509
9/23/2010,106.8000031,26979,487
9/23/2010,252.3000031,18133,693
9/23/2010,210.1999969,20124,431
9/23/2010,166.5,22917,493
9/23/2010,525.0999756,10616,1592
9/23/2010,979.0999756,6261,9
9/23/2010,144.1000061,24421,557
9/23/2010,856.0999756,7080,85
9/24/2010,68.30000305,29259,289
9/24/2010,1399.300049,4511,36
9/24/2010,4.800000191,32549,1564
9/25/2010,603.5,9490,239
9/25/2010,99.5,27410,162
9/25/2010,35.5,31756,496
9/25/2010,31.29999924,31983,531
9/26/2010,36.5,31704,475
9/27/2010,73.80000305,28908,232
9/27/2010,183.6999969,21727,244
9/28/2010,49.09999847,30879,353
9/28/2010,82316,24,1
9/29/2010,209.3000031,20183,4328
9/29/2010,134.3999939,25105,153
9/30/2010,78.69999695,28611,214
9/30/2010,35.29999924,31774,489
9/30/2010,89.80000305,27952,181
9/30/2010,27.89999962,32167,561
10/1/2010,124.4000015,25780,8519
10/1/2010,41.5,31413,451
10/1/2010,4.099999905,32553,1575
10/1/2010,34.09999847,31848,510
10/1/2010,1277.900024,4931,1186
10/2/2010,65.59999847,29442,287
10/2/2010,122,25993,126
10/2/2010,66.59999847,29368,279
10/2/2010,366.2000122,13985,50
10/2/2010,1131.599976,5490,4224
10/3/2010,33.59999847,31871,516
10/3/2010,489,11224,209
10/3/2010,696.7999878,8394,119
10/4/2010,61.09999847,29786,299
10/4/2010,940.0999756,6504,437
10/4/2010,2446.199951,2733,1037
10/4/2010,71.5,29050,248
10/4/2010,65.59999847,29443,287
10/4/2010,132.3999939,25231,115
10/5/2010,64.40000153,29544,276
10/5/2010,433.3999939,12297,978
10/5/2010,41.09999847,31449,2009
10/5/2010,29.20000076,32099,548
10/5/2010,113.8000031,26571,148
10/5/2010,36.09999847,31727,2172
10/6/2010,77.69999695,28667,218
10/6/2010,167.8000031,22830,79
10/6/2010,3260.300049,2048,281
10/6/2010,2938.800049,2300,217
10/6/2010,66.59999847,29369,279
